"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.64503479410422e-12,-9.25929938295241e-13,-9.5156047532584e-13,-9.43105864772773e-13,-9.40189388707538e-13,-9.37561930211632e-13,-9.34870119578248e-13,-9.30842267767019e-13,2.74700787820964e-14,-3.56938340065536e-15,-1.65157392996931e-14,-5.30223896971086e-14,-3.42406621305393e-14,-3.67775364744743e-14,-8.0803663111285e-14,-5.48088805141895e-14,-6.57543050353848e-14,-5.32001731265412e-14,-5.39837720060793e-13,-5.38835762930176e-13,-5.52082591329599e-13,-5.46306899593798e-13,-5.42386818880509e-13,-5.37599391775382e-13,-5.3109426048705e-13,-5.43930408905852e-13,-5.33214483864181e-13,-5.41912212059642e-13,-5.14879087205206e-13,-2.78132070880887e-13,-2.81975707495434e-13,-2.85286970231497e-13,-2.82022044028013e-13,-2.84660106655456e-13,-2.60403972253234e-13,9.51034300078183e-13,9.438227215679e-13,9.39493612841517e-13,9.37309926311774e-13,9.34685266881015e-13,9.32609817045537e-13,-7.19437816385539e-14,-4.46324527392443e-14,-3.45677122505996e-14,-3.53676411050341e-14,-5.09813639566263e-14,-5.93762800949017e-14,-3.8221806161005e-14,-6.83263663588502e-14,-7.04851331949018e-14,-1.20860181868914e-13
"policyTRUE",-9.25929938295264e-13,3.37920444603068e-12,9.4602306281792e-13,9.37119306134977e-13,9.33343349196234e-13,9.30070766550695e-13,9.26629955515736e-13,9.21947093770016e-13,-5.5918115757943e-14,-3.1850562785665e-14,-2.12814763250467e-14,-1.55545407809773e-14,-2.82710325197296e-14,-3.9304113735717e-14,-1.6117126227864e-14,-4.14875843152641e-14,-1.70534585828909e-14,-7.40250030761184e-14,9.14515361557893e-15,1.80336458658384e-14,8.14567992920683e-15,1.14862745484817e-14,1.11251978348758e-14,1.04904619589755e-14,8.21998844622498e-15,1.15973116543532e-14,1.19607983240905e-14,8.36647678602104e-15,-4.77012998522229e-15,1.05929509858444e-15,2.45015134797883e-15,4.22741679599383e-15,2.1638672000426e-15,5.84740792277688e-15,2.24158737329955e-15,-3.51416271159698e-12,-3.47181632060897e-12,-3.4612335170405e-12,-3.44416529310018e-12,-3.42822325336815e-12,-3.40733088506543e-12,1.55133316417429e-13,1.00655055275225e-13,6.78802639860041e-14,3.1601706140165e-14,1.08454308639669e-13,1.23114449863449e-13,4.40994858932859e-14,1.36009016546712e-13,4.22372614984009e-14,1.05757418033146e-13
"age_grp20-24",-9.51560475325873e-13,9.46023062817927e-13,3.15161821263809e-12,8.54682457497989e-13,8.76807496563617e-13,8.9290779230275e-13,9.07460819799337e-13,9.24906375436795e-13,2.37965230520119e-14,2.68474520874596e-14,2.51997524719499e-14,-4.0765179971557e-14,6.28264580512748e-15,5.62830149070238e-15,-9.99242674857334e-14,-4.42032192055504e-14,-3.62924652970675e-15,-1.63409178086943e-13,-3.43501808043618e-16,1.01740203209296e-15,9.21104137827164e-15,1.10968537964102e-14,1.24503863655389e-14,1.48972800548181e-14,6.74617605184685e-15,1.08852342722139e-14,8.38628799273837e-15,6.10490903402301e-15,-7.88648846685028e-15,-2.64660325218434e-15,-2.16058895567739e-15,-9.78044441722148e-16,-3.92279731908022e-16,1.93311539069709e-15,9.46290997107289e-16,-3.15174649786794e-12,-8.54767729388729e-13,-8.76886024368879e-13,-8.92975057084264e-13,-9.07518010206642e-13,-9.24956854693076e-13,-2.37055835968188e-14,-2.68802035576463e-14,-2.53830649222467e-14,4.06783354072864e-14,-6.57194722503944e-15,-5.91534010564639e-15,9.95690246311841e-14,4.37401745280364e-14,3.20423853070046e-15,1.62754133865727e-13
"age_grp25-34",-9.43105864772803e-13,9.37119306134987e-13,8.54682457497986e-13,1.5507538102596e-12,8.97049641930422e-13,9.07068695441639e-13,9.1618370982325e-13,9.27176766139592e-13,-8.31138956486856e-14,-5.1235572021138e-14,-4.67619781241232e-14,-6.51797571038872e-14,-8.44871675096013e-14,-9.87755029834793e-14,-1.08460531652035e-13,-1.55810871435693e-13,-6.10206225772647e-14,-2.0162262393629e-13,8.52464367783722e-16,-1.06181448751607e-15,9.2232091336024e-15,6.38314523394866e-15,4.45852954789354e-15,5.21090553333816e-15,-1.67197673300202e-15,1.1025588116995e-15,2.86931383971586e-16,2.01939946750203e-15,-5.26677425187464e-15,4.321217015856e-15,5.97795808137253e-15,7.49994812630547e-15,6.24309719951427e-15,5.23611565212964e-15,3.51986528193382e-16,-8.54774859999859e-13,-1.55081223557157e-12,-8.97101044533774e-13,-9.07113391902577e-13,-9.16223352471678e-13,-9.2721257828267e-13,8.31493225900508e-14,5.12134897845557e-14,4.66452145584656e-14,6.5116982661729e-14,8.43044154351608e-14,9.85885273267362e-14,1.08234085150863e-13,1.55518726096832e-13,6.07449786063366e-14,2.01193412122985e-13
"age_grp35-44",-9.40189388707539e-13,9.33343349196219e-13,8.76807496563595e-13,8.97049641930401e-13,1.52138856294910e-12,9.13717337968404e-13,9.20507158496067e-13,9.28796505285359e-13,-1.32148217396342e-13,-1.00106111990567e-13,-9.53599059138177e-14,-9.75789425158023e-14,-1.17790406064828e-13,-1.34131484993539e-13,-1.1238498587093e-13,-1.39291467346823e-13,-9.02258666371283e-14,-1.65006091031009e-13,1.94131695830905e-15,5.20367500462618e-16,4.60181657515991e-15,1.43413140965064e-15,-2.46409859831055e-15,-3.88183362375977e-15,-9.14684371085286e-15,-5.11354166874886e-15,-5.01660663049943e-15,1.02506866189279e-15,-6.2010784928075e-15,9.38033628534163e-15,1.30396073033526e-14,1.55474040472371e-14,1.36634341275315e-14,9.52072977196189e-15,1.22999877998639e-16,-8.76931386089496e-13,-8.97114136505973e-13,-1.52142588558327e-12,-9.13761098833747e-13,-9.20559180973681e-13,-9.28852974214345e-13,1.32051607196684e-13,1.00023449744984e-13,9.52458792753971e-14,9.74149164621362e-14,1.17614060521894e-13,1.33899762248348e-13,1.12148899452904e-13,1.38997740943974e-13,8.99233031371085e-14,1.64439538620327e-13
"age_grp45-54",-9.37561930211669e-13,9.30070766550696e-13,8.92907792302749e-13,9.0706869544164e-13,9.13717337968427e-13,1.40028150194304e-12,9.23826815581099e-13,9.29670808180184e-13,-1.6353068502992e-13,-1.35647416407415e-13,-1.14209834959291e-13,-1.07417409100291e-13,-1.3259091539177e-13,-1.36665046543739e-13,-8.67404204047356e-14,-1.28063565820715e-13,-1.16056989058767e-13,-1.55315504728071e-13,2.03938239260114e-15,-1.86791864384796e-15,7.28541815935943e-15,3.3480210010023e-15,-1.79399496073266e-15,-3.74844323218668e-15,-8.52542526858182e-15,-4.32495053692493e-15,-4.14881808548077e-15,5.15871888297198e-16,-5.0258596238576e-15,9.44860056076364e-15,1.2664753804849e-14,1.56503783439165e-14,1.41994171068664e-14,9.93840470151179e-15,3.45859749527002e-16,-8.92981538834879e-13,-9.07110102724396e-13,-9.13747638382387e-13,-1.40031095073698e-12,-9.2385723380021e-13,-9.29701032595345e-13,1.63503590580961e-13,1.35618502208053e-13,1.14137544499701e-13,1.07348216512776e-13,1.32480393895473e-13,1.36534831098831e-13,8.65968740656808e-14,1.27883214751734e-13,1.15874465704714e-13,1.55006469547843e-13
"age_grp55-64",-9.34870119578262e-13,9.2662995551574e-13,9.07460819799327e-13,9.16183709823245e-13,9.20507158496082e-13,9.23826815581089e-13,1.45339501692663e-12,9.30083874918517e-13,-1.74345227174325e-13,-1.54578597909392e-13,-1.33101876447199e-13,-1.18110976394112e-13,-1.27564007492628e-13,-1.33504059770772e-13,-9.54330943613428e-14,-1.15276700467559e-13,-9.62492468096171e-14,-1.30964423217342e-13,1.23751571755203e-15,-1.51688839006604e-15,9.54097886074877e-15,6.16629688898167e-15,6.44571047471919e-16,-2.34859121247253e-15,-6.30311017720095e-15,-2.81719037102188e-15,-2.34890751838982e-15,1.64418343653513e-15,-1.63512060122582e-15,1.00386918158198e-14,1.20721676525359e-14,1.45611502282923e-14,1.36502864355044e-14,7.86156064574612e-15,-1.59904802889027e-15,-9.07510286455235e-13,-9.16215337611866e-13,-9.20536989528124e-13,-9.2385109576498e-13,-1.45341550977983e-12,-9.30101166566542e-13,1.74362950605396e-13,1.54578217397082e-13,1.33045441514426e-13,1.18092122969136e-13,1.27478342992404e-13,1.33419422454502e-13,9.53264318049085e-14,1.15140385717929e-13,9.6117286727872e-14,1.30776203644197e-13
"age_grp65-199",-9.30842267767057e-13,9.21947093770042e-13,9.24906375436799e-13,9.27176766139599e-13,9.28796505285387e-13,9.29670808180188e-13,9.30083874918531e-13,1.34397905189337e-12,-1.80544955985295e-13,-1.56263839249007e-13,-1.51427828304722e-13,-8.67394020737341e-14,-1.04093029175377e-13,-1.3152485480864e-13,-5.23104307643336e-14,-8.15796210098975e-14,-1.5282453616149e-13,-1.16119926134969e-13,-9.95223529671913e-16,-2.15486305744617e-15,1.34891780030516e-14,1.00793869242609e-14,3.85576594555642e-15,4.23982711026003e-16,-2.79692156619547e-15,-2.30958245420299e-15,-9.18162274383184e-16,5.07522201254771e-16,3.62130539118238e-15,9.07212573941004e-15,1.19065948595035e-14,1.36189465679676e-14,1.14613737665758e-14,4.79666804375352e-15,-1.86888209971298e-15,-9.24933293719504e-13,-9.27202851346167e-13,-9.28833816104967e-13,-9.29694660394199e-13,-9.30096069532781e-13,-1.34398296092039e-12,1.80635420364363e-13,1.56302992478574e-13,1.51378227564105e-13,8.67877234372362e-14,1.04016787006287e-13,1.31481195392634e-13,5.22261106349916e-14,8.14673091373138e-14,1.52729484145744e-13,1.16053498593196e-13
"curr_pts_reg1",2.7470078782095e-14,-5.59181157579344e-14,2.37965230520145e-14,-8.31138956486828e-14,-1.32148217396341e-13,-1.63530685029917e-13,-1.74345227174324e-13,-1.80544955985291e-13,3.27926673577557e-11,7.33667000018646e-14,6.6516042762247e-14,5.82837042147283e-14,6.05611174893912e-14,5.80399104723628e-14,4.74049034108842e-14,5.06464354364648e-14,4.64075101977276e-14,3.45657731443584e-14,1.41206546693329e-14,1.09185736773273e-14,-5.37481525963948e-15,7.27713535054978e-15,4.60900937670712e-15,-1.06583101482284e-15,-3.06775900082025e-16,1.78081689341394e-14,1.58732525316638e-14,2.63008027834943e-14,-3.57265360602202e-14,2.98036766610705e-14,3.0752829930575e-14,3.87329549708958e-14,3.38337275824149e-14,2.89726154112222e-14,5.88886882482108e-15,-2.37007346044716e-14,8.31726667783342e-14,1.32192799921597e-13,1.63576399967481e-13,1.74393086302383e-13,1.80594296002765e-13,-3.27926541795498e-11,-7.33269999150248e-14,-6.6428734617951e-14,-5.82040888167283e-14,-6.04135276075452e-14,-5.78758552659925e-14,-4.72300703932486e-14,-5.04211050491808e-14,-4.61893449031407e-14,-3.41843415816486e-14
"curr_pts_reg2",-3.56938340064741e-15,-3.18505627856736e-14,2.68474520874555e-14,-5.12355720211454e-14,-1.00106111990573e-13,-1.35647416407424e-13,-1.54578597909401e-13,-1.56263839249013e-13,7.33667000018648e-14,7.00958158379951e-12,6.58776313993426e-14,5.83320059115151e-14,5.9718367528873e-14,5.76295362441216e-14,4.77981705055895e-14,5.05085020583027e-14,4.67901498479951e-14,3.65543314286306e-14,1.39599959752701e-14,9.41079382915088e-15,7.10285822935874e-16,8.65257953936454e-15,8.01576966708233e-15,5.93503711716814e-15,-1.14927482855307e-15,2.12624858273525e-14,1.99196451108335e-14,2.0523089517176e-14,-4.39188788914751e-14,3.39520388789978e-14,4.33270342313267e-14,4.95113149253582e-14,4.56766246965963e-14,3.45219755433108e-14,4.48101770839665e-15,-2.65698413425505e-14,5.1373123207407e-14,1.00168876603977e-13,1.35735190488069e-13,1.546943235908e-13,1.56398680517786e-13,-7.31219459917689e-14,-7.00936176611525e-12,-6.56380827511215e-14,-5.79213973993804e-14,-5.93341897159639e-14,-5.70982111760933e-14,-4.72876001103701e-14,-4.98599567972127e-14,-4.61170743688961e-14,-3.51846754415721e-14
"curr_pts_reg3",-1.65157392996879e-14,-2.12814763250451e-14,2.51997524719469e-14,-4.67619781241265e-14,-9.53599059138171e-14,-1.14209834959296e-13,-1.33101876447204e-13,-1.51427828304723e-13,6.65160427622471e-14,6.58776313993418e-14,5.57727237424986e-12,5.28955330670358e-14,5.31585583897817e-14,5.05525901930022e-14,4.36626118802771e-14,4.50971908581617e-14,3.89233547030473e-14,3.01636891554048e-14,1.35325158871255e-14,9.55360229404092e-15,1.69063474003516e-15,8.10667759793363e-15,8.66328472076183e-15,6.39940676067439e-15,-2.48793844823632e-15,2.23520644197789e-14,1.50055211393296e-14,1.71385757666252e-14,-4.83413056136267e-14,3.63188129368819e-14,4.78928908793609e-14,5.61177287952699e-14,5.10006714307529e-14,3.62757429346622e-14,7.60686101406031e-15,-2.5038059124212e-14,4.68325957540103e-14,9.5378363597026e-14,1.14247714164783e-13,1.33160970662469e-13,1.51501401245433e-13,-6.63222068089655e-14,-6.57184113235677e-14,-5.57713509580657e-12,-5.26096372968629e-14,-5.29364230509787e-14,-5.02243754760449e-14,-4.33659271014713e-14,-4.47221897582256e-14,-3.85276044139452e-14,-2.9328229465273e-14
"curr_pts_reg4",-5.30223896971057e-14,-1.55545407809775e-14,-4.07651799715555e-14,-6.51797571038923e-14,-9.75789425158027e-14,-1.0741740910029e-13,-1.18110976394115e-13,-8.67394020737418e-14,5.8283704214728e-14,5.83320059115142e-14,5.28955330670355e-14,5.7197043314301e-11,5.23334369399167e-14,4.87385221092572e-14,5.08748202181909e-14,4.9646359539702e-14,3.62554072862836e-14,3.86560178441957e-14,2.37509678391247e-14,1.38449521786615e-14,9.52136807033592e-15,2.47681678855681e-14,1.37174605934477e-14,1.27952933946039e-14,1.41949271029195e-15,4.46405264003151e-14,3.7678775215639e-14,3.43937569667e-14,-6.98189218333513e-14,6.82527066550272e-14,7.66986235795182e-14,9.23089137220883e-14,8.21926727426297e-14,6.44178344501495e-14,1.14742752879051e-14,4.11482563120264e-14,6.53558155426541e-14,9.76351271039532e-14,1.07522075723651e-13,1.18267428348522e-13,8.69313833918622e-14,-5.78276593738695e-14,-5.79825155851121e-14,-5.25954891738081e-14,-5.71964059265757e-11,-5.18482823015457e-14,-4.80110533286526e-14,-5.0208980668577e-14,-4.88155751156419e-14,-3.53690272416835e-14,-3.67287602221434e-14
"curr_pts_reg5",-3.42406621305446e-14,-2.82710325197179e-14,6.28264580513335e-15,-8.44871675095995e-14,-1.17790406064823e-13,-1.32590915391768e-13,-1.27564007492621e-13,-1.04093029175375e-13,6.05611174893916e-14,5.9718367528874e-14,5.31585583897825e-14,5.2333436939916e-14,3.31082950519235e-11,4.82870972647729e-14,4.77802389156472e-14,4.85956937702873e-14,3.28331423716428e-14,3.35254675941455e-14,2.24518949459893e-14,1.53792925051041e-14,1.52732692255415e-15,1.35504970230199e-14,1.39001213790341e-14,5.72414970031537e-15,1.79753645039487e-15,3.35392174876398e-14,2.5779515420782e-14,2.78680436986976e-14,-8.28766992662638e-14,6.46713696650413e-14,8.07406361838007e-14,9.02857805208973e-14,8.29803296121226e-14,6.36241694010425e-14,1.0484852020645e-14,-5.89329521937248e-15,8.46655521727244e-14,1.17852004777435e-13,1.32693432507152e-13,1.2771193814041e-13,1.04272132341499e-13,-6.01520230516499e-14,-5.93688781983357e-14,-5.28153805017472e-14,-5.16874781642501e-14,-3.31077468132429e-11,-4.75041767029192e-14,-4.70415508296846e-14,-4.76636958207459e-14,-3.18590501999119e-14,-3.15017407855382e-14
"curr_pts_reg6",-3.6777536474483e-14,-3.93041137356896e-14,5.62830149070904e-15,-9.87755029834754e-14,-1.34131484993533e-13,-1.36665046543736e-13,-1.33504059770769e-13,-1.31524854808635e-13,5.80399104723634e-14,5.76295362441209e-14,5.0552590193003e-14,4.87385221092597e-14,4.82870972647731e-14,4.82758399973744e-11,4.3647164038688e-14,4.40185546809604e-14,2.76958601032354e-14,2.67661929967811e-14,2.34279451207062e-14,1.76752889990016e-14,1.29435700616062e-14,2.43625152183688e-14,1.55970885759492e-14,1.57182789934002e-14,5.61941007690875e-16,4.63488041466848e-14,3.57539485671883e-14,3.13232418124674e-14,-8.87904625915645e-14,7.38036405865329e-14,9.24792994292204e-14,1.07305410020058e-13,1.00591513536645e-13,7.18763788165482e-14,8.99310896440082e-15,-5.32004172274321e-15,9.88993241959713e-14,1.34141123529229e-13,1.36724911074222e-13,1.33616628252672e-13,1.31673675981334e-13,-5.75679971712108e-14,-5.72867976864516e-14,-5.03200103686439e-14,-4.81321581891888e-14,-4.79089754006304e-14,-4.82752244673484e-11,-4.311835966248e-14,-4.33636444002118e-14,-2.69817565745064e-14,-2.51336414580534e-14
"curr_pts_reg7",-8.08036631112922e-14,-1.61171262278477e-14,-9.99242674857329e-14,-1.08460531652038e-13,-1.12384985870928e-13,-8.67404204047374e-14,-9.54330943613455e-14,-5.23104307643325e-14,4.74049034108825e-14,4.77981705055887e-14,4.36626118802769e-14,5.08748202181898e-14,4.7780238915647e-14,4.3647164038687e-14,1.48565651124794e-10,5.19567584585935e-14,3.0009280673681e-14,4.43688395701928e-14,3.17984876098636e-14,1.64484094670841e-14,3.21663912945541e-15,2.37595517127761e-14,3.15931904644306e-14,2.3749124429592e-14,1.54660443164102e-14,5.3116132739019e-14,4.85791226244301e-14,4.67594731518169e-14,-1.07598172126682e-13,8.8008884836926e-14,1.09756148520938e-13,1.26296274026025e-13,1.28844775854454e-13,9.58152799451438e-14,2.21616665846412e-14,1.00395491660765e-13,1.08661851668391e-13,1.12426613893334e-13,8.68460823358395e-14,9.5609429567401e-14,5.25355639052326e-14,-4.67782572192559e-14,-4.73683277132895e-14,-4.33278621087558e-14,-5.00804864912009e-14,-4.72472822992052e-14,-4.27914357144736e-14,-1.48564905160056e-10,-5.10169417593685e-14,-2.89764015168814e-14,-4.20286468567682e-14
