"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.84708545454844e-12,-1.32030645696331e-12,-1.31808548233539e-12,-1.31860515604229e-12,-1.32004971718857e-12,-1.31580799628735e-12,-1.3113021730758e-12,-1.30708252840848e-12,-9.50425011341454e-15,-4.24278427873285e-14,-6.82744393107224e-14,-1.17497951286029e-13,-8.91877921184389e-14,-1.02618399983853e-13,-1.4597963845876e-13,-1.32654939039715e-13,-1.62308725912905e-13,-1.59090869167249e-13,-4.19720036233842e-13,-4.22918002543255e-13,-4.37551104303688e-13,-4.31477221454997e-13,-4.29923024904871e-13,-4.20110166662296e-13,-4.16320462514509e-13,-4.30462637532086e-13,-4.18944286344111e-13,-4.2571194476749e-13,-3.99060613671592e-13,-1.93057972503353e-13,-1.98870076522574e-13,-2.03046360581315e-13,-1.97818719472414e-13,-1.95742599279357e-13,-1.73618802877406e-13,1.31790027129017e-12,1.31959053630287e-12,1.32063950925115e-12,1.32202310150133e-12,1.32145490832567e-12,1.32178179343663e-12,-4.35988963007164e-14,-1.62773922989351e-14,-1.89934004967187e-15,6.0705284888476e-16,-3.12206726570517e-14,-3.86570217616323e-14,-3.104803369833e-14,-4.3812315322703e-14,6.64405519925883e-15,-7.05758118315717e-14
"policyTRUE",-1.32030645696321e-12,5.61097424941178e-12,1.30585809037512e-12,1.30420279759457e-12,1.30351796375071e-12,1.30176454274978e-12,1.29996521886236e-12,1.2983631435923e-12,-2.16397400703625e-14,-6.17229379951157e-15,1.39270969886059e-14,2.18468988784848e-14,-5.16762341568633e-15,-1.63681695977122e-14,2.56841591961646e-14,-4.54223129533087e-14,6.23282435000574e-14,-3.11014906275071e-17,1.59697602415228e-14,2.94840322405413e-14,8.70250524416344e-15,1.19602663100053e-14,1.47932400840391e-14,7.6359986573237e-15,9.44451043737703e-15,2.00696486451973e-14,1.74021218762403e-14,1.40912045520486e-14,-1.19585643959478e-14,1.44904080501811e-14,1.75261346036969e-14,2.03510041543716e-14,1.51005483582896e-14,1.38127894864098e-14,4.27208228963179e-15,-5.67273382861794e-12,-5.65723559933442e-12,-5.65359746104814e-12,-5.63972513922807e-12,-5.6292377654328e-12,-5.61978867353255e-12,4.09045351135241e-14,-6.85254109923982e-15,-5.49321275904723e-14,-5.48625866932691e-14,2.04013072677366e-14,4.49499765209992e-14,-1.39515705557019e-14,1.07899002823242e-13,-1.80248812082575e-13,-5.77837776680091e-14
"age_grp20-24",-1.31808548233542e-12,1.30585809037522e-12,3.06658947926686e-12,1.2682923085737e-12,1.27252820542174e-12,1.28173170898646e-12,1.29048256219721e-12,1.29776419375719e-12,-2.11147981007486e-16,-1.20595513537039e-14,9.35345610598702e-15,3.95721834046762e-15,5.06150093935514e-15,2.13707569900169e-14,-8.75206154518998e-14,-7.01538927496151e-14,2.76986382399826e-14,1.52530072748029e-13,9.36153005897539e-16,2.38744821627452e-15,5.81296665173202e-15,7.36137590249662e-15,8.45006276889327e-15,8.87270056427878e-15,6.34847526997457e-15,9.36703794281172e-15,8.64830007813043e-15,7.03347900049244e-15,-8.45100287389502e-15,1.17982102208333e-14,1.11343111929793e-14,1.27566867877656e-14,9.3306033429746e-15,7.34074756336832e-15,8.46973602599611e-16,-3.06678485769377e-12,-1.2684484222552e-12,-1.27269051328894e-12,-1.28189107195414e-12,-1.29062678452118e-12,-1.29788776501931e-12,2.68254088569284e-16,1.20053596463336e-14,-9.52491547975118e-15,-4.07107667057189e-15,-5.31192138229379e-15,-2.16657049985087e-14,8.72009598903427e-14,6.97171370131322e-14,-2.81277359859735e-14,-1.53105158774424e-13
"age_grp25-34",-1.31860515604226e-12,1.30420279759463e-12,1.26829230857365e-12,1.84625561237488e-12,1.27934216409288e-12,1.2867774556616e-12,1.29384344509023e-12,1.29940392330555e-12,-9.65796189823381e-14,-6.08264538741609e-14,-3.96681072243768e-14,-5.52070801396446e-14,-7.98288254812861e-14,-7.29886876509093e-14,-7.2076657359399e-14,-1.23018430778794e-13,6.95859050212708e-14,-9.20639898293853e-14,-9.83015078406573e-17,-4.91904008644186e-16,1.03197782015983e-14,9.08139553828308e-15,8.19792571780377e-15,4.21009105605088e-15,1.47895431993517e-15,6.53531223589735e-15,2.85766133062987e-15,4.01896002601738e-15,-5.12215055579829e-15,1.298343512142e-14,1.68085387956329e-14,1.83760988994269e-14,1.61642277152924e-14,1.03466453188758e-14,2.98287838295404e-15,-1.26847080306471e-12,-1.84640333858336e-12,-1.27950126263177e-12,-1.28692757725962e-12,-1.29397352608603e-12,-1.29950934296581e-12,9.6668352483833e-14,6.07997919835676e-14,3.95163238159132e-14,5.51459343757686e-14,7.9611378856399e-14,7.27515687824091e-14,7.18171917212094e-14,1.22652166736434e-13,-6.99377696177039e-14,9.16210125401848e-14
"age_grp35-44",-1.32004971718853e-12,1.30351796375079e-12,1.2725282054217e-12,1.27934216409288e-12,1.74291345243705e-12,1.28850662969555e-12,1.29473693899855e-12,1.29957654592108e-12,-8.50775393012911e-14,-7.43875418635125e-14,-4.30695611280803e-14,-2.7168872477797e-14,-8.8136996421338e-14,-9.42939283432812e-14,-4.25615996050934e-14,-1.40119324592813e-13,4.09226975407799e-14,-9.32833148608968e-14,2.45156975296955e-15,6.87312557008088e-16,8.54844476711396e-15,8.48296115452814e-15,7.02685160237016e-15,2.21002334553976e-16,-4.29966783113192e-16,3.36899765338490e-15,-5.15331720925224e-16,5.40509174837202e-15,-4.28259449950261e-15,1.55556948074231e-14,2.0839271139752e-14,2.39516795177893e-14,2.10423084835277e-14,1.37934943870759e-14,3.44220455330353e-15,-1.27275364038618e-12,-1.27951608150422e-12,-1.7430902958785e-12,-1.28868372157778e-12,-1.29490223964035e-12,-1.29972282793455e-12,8.50820165611795e-14,7.43181865390451e-14,4.28848192339035e-14,2.70268169627224e-14,8.78645964683165e-14,9.39518186115074e-14,4.22036333596679e-14,1.39640104112668e-13,-4.14279112531905e-14,9.26206180326984e-14
"age_grp45-54",-1.31580799628732e-12,1.30176454274985e-12,1.28173170898643e-12,1.2867774556616e-12,1.28850662969555e-12,1.63566134373429e-12,1.29712956759687e-12,1.30024881555165e-12,-1.08401251198391e-13,-8.83118052508331e-14,-6.29511695340112e-14,-7.06278684153055e-14,-8.43704691137985e-14,-1.18636115294803e-13,-3.76106075068735e-14,-1.27005523408424e-13,1.62904844440468e-14,-1.25544130760319e-13,6.46456964281806e-17,-7.63841247269117e-16,1.23148545381983e-14,1.11968609323572e-14,9.93241406803247e-15,2.12333516561974e-15,6.51889739735159e-16,3.54491226962338e-15,-3.01493756084125e-16,3.14007108501739e-15,-9.86548250387054e-16,1.12957756998073e-14,1.646166854513e-14,1.88880454856159e-14,1.62854269919705e-14,9.94940715606303e-15,2.27380954705268e-15,-1.28189454006064e-12,-1.28691569322329e-12,-1.28865867373602e-12,-1.63580149803631e-12,-1.29724762625194e-12,-1.30034086849202e-12,1.08502783600093e-13,8.82999161225299e-14,6.28150450670831e-14,7.05969113636439e-14,8.41770162887734e-14,1.18437669084902e-13,3.73903846557405e-14,1.26687919952655e-13,-1.65901164009057e-14,1.25189224515626e-13
"age_grp55-64",-1.31130217307576e-12,1.2999652188624e-12,1.29048256219715e-12,1.29384344509022e-12,1.29473693899853e-12,1.29712956759685e-12,1.67124482938872e-12,1.30083135494693e-12,-1.16490036114612e-13,-9.97525542635255e-14,-8.02180562274081e-14,-7.07598046941976e-14,-9.30111294151818e-14,-1.00455703177653e-13,-4.35678420455712e-14,-1.2578256253077e-13,-4.77141596092802e-14,-6.08880247223566e-14,-2.12325492399312e-15,-2.13421691202637e-15,1.20807769824275e-14,1.11024939250539e-14,1.02080308947184e-14,2.66907661477956e-15,1.45698408661078e-15,2.82676911662948e-15,-5.18440214370442e-16,6.61510838159503e-16,2.22860034744646e-15,9.08614584719138e-15,1.22513237694651e-14,1.56003448312728e-14,1.21233882441397e-14,6.98717262223305e-15,1.34396073291678e-15,-1.29060273236744e-12,-1.29395345424555e-12,-1.29486439780988e-12,-1.29724085276927e-12,-1.6713313617778e-12,-1.30089108558869e-12,1.16626599978111e-13,9.9766111597438e-14,8.01151961305371e-14,7.07803444546691e-14,9.2868836553657e-14,1.00337686916585e-13,4.34257227817636e-14,1.25561493965984e-13,4.75327591547021e-14,6.06986863061746e-14
"age_grp65-199",-1.30708252840843e-12,1.29836314359234e-12,1.29776419375713e-12,1.29940392330553e-12,1.29957654592107e-12,1.30024881555163e-12,1.30083135494693e-12,1.66248920785262e-12,-9.27593966950161e-14,-8.52744439027344e-14,-9.14255413199086e-14,-4.15118325559328e-14,-6.97800166553422e-14,-9.51568541871251e-14,-2.16739758267509e-14,-9.3862544312122e-14,-2.20251366488785e-13,-6.93114994146039e-14,-2.57507569298956e-15,-4.08133809309252e-15,1.40223226680731e-14,1.18270279074568e-14,1.03253637701083e-14,4.79347336492693e-15,3.39881542322159e-15,3.42769537273007e-15,-1.98603166647652e-16,2.66379613399134e-16,6.58795240957849e-15,5.12695107998944e-15,8.41425377494053e-15,9.95315927071318e-15,7.56855441180598e-15,2.49598111051634e-15,-1.1766609834491e-16,-1.29783468941511e-12,-1.29948251053049e-12,-1.29967804496607e-12,-1.30032781557875e-12,-1.30088111926618e-12,-1.66250997765782e-12,9.2946447955874e-14,8.53215721782989e-14,9.13613870872077e-14,4.15993260189411e-14,6.9697703672616e-14,9.51373260341264e-14,2.16261510147597e-14,9.37582012141135e-14,2.20215034563324e-13,6.9328523751401e-14
"curr_pts_reg1",-9.50425011341343e-15,-2.16397400703478e-14,-2.11147981001174e-16,-9.6579618982338e-14,-8.50775393012907e-14,-1.08401251198392e-13,-1.16490036114607e-13,-9.27593966950155e-14,3.21828335228006e-11,6.06536605335309e-14,5.72123544463865e-14,5.47307063917663e-14,5.63622194242437e-14,5.5257969575772e-14,5.39914711509466e-14,5.54440360687851e-14,3.53843482715742e-14,4.41453944268151e-14,-2.47765940414387e-15,5.48563944651228e-15,9.44317956660945e-17,1.13944914117986e-14,3.14240241185228e-15,6.3726188700186e-16,2.98714166969043e-15,2.38407253426914e-14,2.11338010683877e-14,1.36710537511593e-14,-3.99392948569299e-14,3.31938156795218e-14,4.37468689709925e-14,4.63065628560079e-14,4.33885294321988e-14,2.77900677191803e-14,-5.4275638756277e-16,4.59753123459747e-16,9.67375819572595e-14,8.5207249002369e-14,1.08565487976912e-13,1.1667878341804e-13,9.29617550911508e-14,-3.21825504249051e-11,-6.04858370389985e-14,-5.70491126986245e-14,-5.44368598638061e-14,-5.6102525418685e-14,-5.48016565088453e-14,-5.35330181087244e-14,-5.48983030170785e-14,-3.47102354711127e-14,-4.31843343207341e-14
"curr_pts_reg2",-4.24278427873249e-14,-6.17229379950999e-15,-1.20595513537015e-14,-6.08264538741616e-14,-7.43875418635132e-14,-8.8311805250834e-14,-9.97525542635231e-14,-8.52744439027334e-14,6.0653660533531e-14,7.11807248165223e-12,5.83066812016122e-14,5.58688692206008e-14,5.78775411947231e-14,5.75237404080199e-14,5.46432003662895e-14,5.7431551842898e-14,3.87629677908657e-14,5.04462718266365e-14,9.38405212958703e-15,6.24254760196727e-15,1.06974881059644e-14,1.46877531766646e-14,1.16421703418578e-14,6.66699947631783e-16,-1.20481773746501e-15,2.13010637174085e-14,2.01946269257753e-14,2.22649463919755e-14,-4.13715021377475e-14,5.08804685892893e-14,6.31103203641058e-14,6.79381286019066e-14,6.51805375754907e-14,4.3592486973578e-14,5.40523795319836e-15,1.2479176999006e-14,6.10961428288767e-14,7.46153366541309e-14,8.85911336476993e-14,1.00066129907147e-13,8.56039023741287e-14,-6.02764812704545e-14,-7.11780035216131e-12,-5.80107461393997e-14,-5.53713567640322e-14,-5.7416726420536e-14,-5.67605235060644e-14,-5.38752386225851e-14,-5.64467392859761e-14,-3.76520533641983e-14,-4.87759700568741e-14
"curr_pts_reg3",-6.82744393107317e-14,1.39270969886195e-14,9.35345610599154e-15,-3.96681072243671e-14,-4.30695611280821e-14,-6.29511695340044e-14,-8.02180562274003e-14,-9.14255413199015e-14,5.72123544463862e-14,5.83066812016128e-14,7.32800469260719e-12,5.17911005085697e-14,5.3426895517832e-14,5.28117074814072e-14,5.03766094845424e-14,5.21821594233721e-14,3.8326355588206e-14,4.35033831400148e-14,1.4854443754788e-14,1.27638500360963e-14,1.25392076073699e-14,2.24797828222351e-14,1.65208268086937e-14,6.93094703952592e-15,-7.55876717883583e-16,2.15872381475182e-14,2.02351002945835e-14,2.35707270556761e-14,-4.45757475912387e-14,5.16024635313064e-14,6.71054902919491e-14,7.65363202959661e-14,6.98596778925658e-14,4.59969591342006e-14,7.53954290674436e-15,-9.11035285266898e-15,3.98023609350639e-14,4.31652995865241e-14,6.3090198321566e-14,8.03916700072484e-14,9.16218055374593e-14,-5.68722038513864e-14,-5.80946593716455e-14,-7.32783189949087e-12,-5.14200861556519e-14,-5.31508261016977e-14,-5.23004827372255e-14,-4.98604837731477e-14,-5.15462336784612e-14,-3.75986115978619e-14,-4.23451339683563e-14
"curr_pts_reg4",-1.1749795128601e-13,2.18468988784724e-14,3.95721834045542e-15,-5.5207080139656e-14,-2.71688724778102e-14,-7.06278684153194e-14,-7.0759804694216e-14,-4.1511832555947e-14,5.47307063917661e-14,5.58688692206009e-14,5.17911005085688e-14,9.22325765492126e-11,5.16704735316457e-14,4.9316909617563e-14,5.23852406164838e-14,5.20430648240362e-14,2.30070304682745e-14,3.80820030968908e-14,2.49767511352421e-14,1.62010402037493e-14,2.22979593784395e-14,3.97119978068354e-14,2.2495732359447e-14,7.44466561373727e-15,4.89187891176106e-15,3.88621415763037e-14,5.7930873929173e-14,4.94719663536136e-14,-6.62768756362253e-14,9.61489848502702e-14,1.16875469478893e-13,1.23092036358113e-13,1.15215054806768e-13,8.01137091190865e-14,9.84751203014585e-15,-3.30746813969478e-15,5.56221081035063e-14,2.75141348814701e-14,7.10604172428267e-14,7.12546566603134e-14,4.20393041261555e-14,-5.41228617223359e-14,-5.54588064835105e-14,-5.13718037657604e-14,-9.22318211124052e-11,-5.10141474488872e-14,-4.81919401796496e-14,-5.1270152351187e-14,-5.05822916327311e-14,-2.13416641033056e-14,-3.55633988205392e-14
"curr_pts_reg5",-8.91877921184277e-14,-5.16762341569703e-15,5.06150093934969e-15,-7.98288254813011e-14,-8.81369964213467e-14,-8.43704691138043e-14,-9.30111294151885e-14,-6.97800166553494e-14,5.6362219424244e-14,5.78775411947232e-14,5.34268955178308e-14,5.16704735316462e-14,6.2803035583133e-11,5.20436947954625e-14,5.41656152476569e-14,5.45611317602818e-14,2.45888365077215e-14,4.02797338531213e-14,2.2629068533415e-14,1.50567158435026e-14,1.33286523759504e-14,3.58505739850854e-14,2.15733381326195e-14,1.25311913867528e-14,-9.36639877420307e-16,4.24207929290291e-14,4.32602959824242e-14,4.18545765723762e-14,-8.17829915148218e-14,1.01703225194507e-13,1.11976762419094e-13,1.37171244269872e-13,1.18231994994967e-13,8.53459913082541e-14,8.75060882032385e-15,-4.47811747990225e-15,8.01875222203208e-14,8.84267562634331e-14,8.47432728171816e-14,9.34459692385976e-14,7.02493819515928e-14,-5.57380500339562e-14,-5.74772509422453e-14,-5.30442232255363e-14,-5.09465303120508e-14,-6.28024347381601e-11,-5.09840057637574e-14,-5.31104865927913e-14,-5.32035137584714e-14,-2.30407548708423e-14,-3.78941594867505e-14
"curr_pts_reg6",-1.02618399983854e-13,-1.6368169597722e-14,2.13707569900095e-14,-7.29886876509164e-14,-9.42939283432895e-14,-1.18636115294808e-13,-1.00455703177656e-13,-9.5156854187121e-14,5.52579695757719e-14,5.75237404080186e-14,5.28117074814053e-14,4.93169096175633e-14,5.20436947954645e-14,1.12337088027005e-10,4.9522845005556e-14,5.0960281437415e-14,2.27106333716056e-14,3.57951383510028e-14,2.96706152728095e-14,2.83787345361272e-14,3.23996557169284e-14,5.06323650936488e-14,3.80877965138993e-14,1.5754105285688e-14,3.19790164360353e-15,4.29451177750117e-14,3.48956006466615e-14,5.25313209123729e-14,-9.34844266011327e-14,1.21633542606957e-13,1.53851380767729e-13,1.70287570475109e-13,1.49882219389219e-13,8.88866080263803e-14,1.16286269076322e-14,-2.09285427566229e-14,7.32176892466413e-14,9.44373942973851e-14,1.18875059198212e-13,1.00777779102837e-13,9.55378730986212e-14,-5.45148236678895e-14,-5.70928877941307e-14,-5.25196363971813e-14,-4.8560727034751e-14,-5.15619769607737e-14,-1.12336129568359e-10,-4.85629938292104e-14,-4.97723050157131e-14,-2.13494862559831e-14,-3.35489920931795e-14
"curr_pts_reg7",-1.45979638458779e-13,2.56841591962153e-14,-8.7520615451879e-14,-7.20766573593701e-14,-4.25615996050711e-14,-3.76106075068432e-14,-4.35678420455357e-14,-2.16739758267417e-14,5.39914711509458e-14,5.46432003662897e-14,5.03766094845401e-14,5.23852406164827e-14,5.41656152476556e-14,4.95228450055534e-14,4.38939886683358e-10,5.81753110426378e-14,2.11545187845034e-14,4.12203453334604e-14,1.23336958121786e-14,6.12985299439523e-15,-2.62786113975111e-15,4.97624632531398e-14,2.89808709549925e-14,-7.9369565368299e-15,3.75311905098741e-16,4.16301073602191e-14,3.03235560667288e-14,3.16493035532253e-14,-1.28743764894749e-13,1.41952633529916e-13,1.78428843251557e-13,1.77480297983356e-13,1.78557592806335e-13,1.21326899251482e-13,6.99645870594551e-15,8.83552989818528e-14,7.25710028880448e-14,4.29487226095408e-14,3.81242263647844e-14,4.4178718023075e-14,2.23420397257796e-14,-5.30132622236069e-14,-5.40393066424469e-14,-4.98214861352325e-14,-5.12912350133837e-14,-5.32971230754142e-14,-4.79520884428913e-14,-4.38938339686961e-10,-5.6216205187308e-14,-1.8874314132627e-14,-3.76547570377946e-14
"curr_pts_reg8",-1.32654939039708e-13,-4.54223129533115e-14,-7.01538927496308e-14,-1.230184307788e-13,-1.4011932459282e-13,-1.27005523408432e-13,-1.25782562530778e-13,-9.38625443121184e-14,5.54440360687844e-14,5.74315518428982e-14,5.21821594233696e-14,5.20430648240362e-14,5.45611317602796e-14,5.09602814374154e-14,5.81753110426357e-14,4.48512318871343e-10,1.95039467110583e-14,3.69227880414522e-14,7.0911776295566e-14,4.51058273883041e-14,6.00502971328228e-14,6.66945958840377e-14,4.69012018689535e-14,3.51304441055706e-14,1.14377223510542e-14,6.15337713009945e-14,9.63167450680965e-14,6.08636852672875e-14,-9.22294587642393e-14,1.69675121104769e-13,2.12303894253524e-13,2.06596881917142e-13,2.13933075687869e-13,1.3794932444313e-13,3.67628572531491e-14,7.0819510799152e-14,1.23401214521527e-13,1.40402556232737e-13,1.27401338534587e-13,1.26268882699275e-13,9.44059853485892e-14,-5.45768577035125e-14,-5.68580880823885e-14,-5.17072493768035e-14,-5.10122817975509e-14,-5.37832641498532e-14,-4.95808660095277e-14,-5.67918287809391e-14,-4.48510517827045e-10,-1.7546881208506e-14,-3.37901884889207e-14
"curr_pts_reg9",-1.62308725912902e-13,6.23282435000847e-14,2.76986382399897e-14,6.95859050212843e-14,4.09226975407892e-14,1.62904844440571e-14,-4.77141596092761e-14,-2.20251366488786e-13,3.53843482715736e-14,3.87629677908659e-14,3.8326355588205e-14,2.30070304682742e-14,2.45888365077208e-14,2.27106333716075e-14,2.11545187845033e-14,1.95039467110575e-14,3.9675617311005e-10,-2.5424727954155e-16,1.8161532729229e-14,4.83102292191634e-14,1.85825608194288e-14,3.14960340000343e-14,2.17684409323475e-14,-1.45144446210454e-14,-1.35110267801597e-15,2.39546718514344e-14,3.31364316694576e-14,3.361385384585e-14,-1.14416548699306e-13,1.01800672204045e-13,1.39033584709376e-13,1.50527528514077e-13,1.50704637702997e-13,9.86797219585843e-14,7.0437469526541e-16,-2.72144566603258e-14,-6.92602244876387e-14,-4.06442857135001e-14,-1.59466234718513e-14,4.8101523423744e-14,2.20660816937857e-13,-3.50046687018174e-14,-3.84537613712401e-14,-3.80292656044472e-14,-2.24817728427827e-14,-2.41102980892615e-14,-2.18953192729413e-14,-2.03232652315618e-14,-1.83977008835735e-14,-3.96755018618944e-10,2.11676740724376e-15
"curr_pts_reg10-150",-1.59090869167288e-13,-3.11014906019401e-17,1.5253007274805e-13,-9.20639898293895e-14,-9.32833148608661e-14,-1.25544130760291e-13,-6.088802472234e-14,-6.93114994145939e-14,4.41453944268163e-14,5.04462718266379e-14,4.35033831400131e-14,3.80820030968886e-14,4.02797338531218e-14,3.57951383510044e-14,4.1220345333462e-14,3.69227880414536e-14,-2.54247279542916e-16,5.79401157389724e-10,4.79001964382769e-14,2.71177938830029e-14,2.54607047144438e-14,4.16757852710315e-14,6.49800089323268e-15,1.48713033055456e-14,2.29709227615413e-15,5.89084938806257e-14,6.39023245439063e-14,8.78523799394863e-14,-2.09539110926648e-13,1.64661440786524e-13,2.14046282971302e-13,2.58935206606115e-13,2.27264436650273e-13,1.37871591901871e-13,1.37192425485117e-14,-1.51554896099534e-13,9.26687735015787e-14,9.37792378980553e-14,1.2617107796789e-13,6.16091638611302e-14,7.00818854099893e-14,-4.31387572063786e-14,-4.97571021821799e-14,-4.28404223486621e-14,-3.68811494624106e-14,-3.92298161561192e-14,-3.40076489184934e-14,-3.93831066925642e-14,-3.45391821949876e-14,2.83564614871678e-15,-5.79397108308564e-10
